URL,TITRE,QUANTITE,PRIX,PRIX_KILOS,VALEUR ÉNERGÉTIQUE (KJ),VALEUR ÉNERGÉTIQUE (KCAL),MATIÈRES GRASSES,ACIDES GRAS SATURÉS,GLUCIDES,SUCRES,PROTÉINES,SEL,FIBRES ALIMENTAIRES,VITAMINE D,CALCIUM,VITAMINE B6,ACIDES GRAS MONO-INSATURÉS,VITAMINE B12
https://www.carrefour.fr/p/cremes-dessert-bio-au-cafe-carrefour-bio-3560071182113?t=R04F06,Crèmes dessert bio au café CARREFOUR BIO ,les 4 pots de 100g,1.50,3.75,572,136,5.8,3.8,18,15,2.9,0.18,,,,,,
https://www.carrefour.fr/p/cremes-dessert-saveur-vanille-la-laitiere-3023290165348?t=R04F06,Crèmes dessert saveur vanille LA LAITIERE ,les 4 pots de 100 g,1.59,3.98,806,193,10.8,6.5,19.3,16.3,4.6,0.14,,,,,,
https://www.carrefour.fr/p/dessert-bio-specialite-au-soja-chocolat-carrefour-bio-3560071092221?t=R04F06,Dessert bio spécialité au soja chocolat CARREFOUR BIO ,les 4 pots de 100g,1.99,4.97,516,123,3.1,1.3,19,15,3.5,0.11,,,,,,
https://www.carrefour.fr/p/dessert-bio-semoule-au-lait-de-brebis-carrefour-bio-3560071182656?t=R04F06,Dessert bio semoule au lait de brebis CARREFOUR BIO ,les 2 pots de 140g,1.73,6.18,558,134,5.9,4.4,13,11,5.4,0.1,,,,,,
https://www.carrefour.fr/p/dessert-baba-au-rhum-carrefour-3245412404474?t=R04F06,Dessert Baba au rhum CARREFOUR ,les 2 pots de 150g,1.50,5.00,792,188,3.6,2.3,32,26,1.5,0.18,,,,,,
https://www.carrefour.fr/p/dessert-tiramisu-carrefour-3245412702815?t=R04F06,Dessert Tiramisu CARREFOUR ,la barquette de 500g,3.92,7.84,988,236,9.4,7.8,30,20,4.5,0.13,,,,,,
https://www.carrefour.fr/p/dessert-soja-amandes-alpro-5411188118961?t=R04F06,Dessert soja amandes ALPRO ,le pot de 500g,1.84,3.68,226,54,2.8,0.4,2.3,2.2,3.9,0.25,,0,0.12,,,
https://www.carrefour.fr/p/dessert-cerise-sans-sucres-ajoutes-alpro-5411188126096?t=R04F06,Dessert cerise sans sucres ajoutés ALPRO ,le pot de 400g,1.95,4.88,261,62,1.9,0.3,6.2,6,3.6,0.11,,,,,,
https://www.carrefour.fr/p/dessert-soja-peche-ananas-passion-alpro-5411188106876?t=R04F06,Dessert soja pêche ananas/passion ALPRO ,les 4 pots de 125g,1.94,3.88,326,77,1.9,0.3,10.2,10.05,3.6,0.29,0.9,0,0.12,,0.4,0
https://www.carrefour.fr/p/desserts-bio-a-la-vanille-carrefour-bio-3560071011376?t=R04F06,Desserts bio à la vanille CARREFOUR BIO ,les 2 pots de 100g,1.85,9.25,704,168,8,5,19,17,5.2,0.13,,,,,,
https://www.carrefour.fr/p/desserts-bio-au-chocolat-carrefour-bio-3560071011369?t=R04F06,Desserts bio au chocolat CARREFOUR BIO ,les 2 pots de 100g,1.85,9.25,766,183,9.9,6.2,18,15,5.6,0.13,,,,,,
https://www.carrefour.fr/p/desserts-mousse-liegeoise-cafe-carrefour-3270190216780?t=R04F06,Desserts mousse liégeoise café CARREFOUR ,les 4 pots de 80g,1.15,3.59,712,170,9.1,6.2,19,17,3.6,0.18,,,,,,
https://www.carrefour.fr/p/desserts-tiramisu-au-citron-carrefour-3560070959273?t=R04F06,Desserts Tiramisu au citron CARREFOUR ,les 2 pots de 100g,1.99,9.95,991,236,8.3,3.8,34,21,3.9,0.18,,,,,,
https://www.carrefour.fr/p/desserts-flan-aux-oeufs-frais-carrefour-3560070541065?t=R04F06,Desserts flan aux œufs frais CARREFOUR ,les 4 pots de 100g,2.01,5.02,489,116,3.9,2.3,16,14,4.8,0.15,,,,,,
https://www.carrefour.fr/p/desserts-poire-chocolat-carrefour-selection-3560071151027?t=R04F06,Desserts poire chocolat CARREFOUR SELECTION ,les 2 pots de 90g,2.19,12.17,1489,356,20,9.8,40,33,3.6,0.13,2,,,,,
https://www.carrefour.fr/p/desserts-creme-brulee-caramel-carrefour-3560070999941?t=R04F06,Desserts crème brûlée caramel CARREFOUR ,les 2 pots de 100g,1.32,6.60,1211,292,22,15,19,17,4.4,0.1,,,,,,
https://www.carrefour.fr/p/desserts-mousse-chocolat-noir-carrefour-selection-3560070884759?t=R04F06,Desserts mousse chocolat noir CARREFOUR SELECTION ,les 2 pots de 90g,2.30,12.78,1493,359,23,14,28,24,7.7,0.24,,,,,,
https://www.carrefour.fr/p/desserts-ile-saveur-coco-chocolat-carrefour-3560071015992?t=R04F06,Desserts île saveur coco chocolat CARREFOUR ,les 4 pots de 100g,2.12,5.30,524,124,2.8,1.7,19,17,5.4,0.15,,,,,,
